Name sim201
COMMENT : UAV simulation (olivieri)
TYPE : TSP
117 9788.56363443885 371.2540672227119
118 8787.346118838654 7261.808989556958
119 6950.617626699577 2424.5022794848637
120 6685.068259107205 12250.893338859327
121 423.8114178125211 10052.459365709889
122 7368.171281800304 6789.700525911927
123 11583.477373277517 7430.756544827411
124 2708.3886914870536 11103.047097654666
125 3504.5069541831695 7492.197789972155
126 7805.143415554856 11222.87717025631
127 6687.127318371947 965.9851110889695
128 11630.230553944726 5660.228258883725
129 3332.5241425801923 108.58367884605957
130 1096.8405287966896 8725.104426533595
131 3818.75644631572 56.404757828003916
132 10959.739703615855 2977.2869614952015
133 5079.267019796687 4273.960351457758
134 9766.875543060283 3254.893455789032
135 11187.515482729634 5542.1806763068935
136 1162.7475639189286 3097.135072824193
137 5440.771104988594 10202.550006683272
138 947.7282954729387 11768.670042370813
139 4702.005254561136 9236.559151077387
140 4256.274587426362 5135.464748496494
141 4005.8948789398105 3202.3560774069683
142 1167.1772255137428 912.5774458747453
143 2338.2679632095055 8399.106341755603
144 1165.4283155435683 11481.036294055453
145 11057.899708312963 6884.464974366352
146 4137.99222308834 2553.99904306072
147 11645.374016812872 1131.6838294819527
148 12004.705359538373 10461.628829490142
149 2335.808739404595 6180.270499233032
150 3660.725837893929 10719.635374911037
151 7720.557175839825 11107.74185744701
152 11638.40462747308 848.1892032837851
153 1587.5704337721274 4529.901545085711
154 1784.1338132853186 6115.917149240283
155 7110.920899698421 7623.202481246922
156 289.6877241993386 2997.9555971565396
157 1617.755181421301 2657.5357976953046
158 7348.752390560851 6207.222327619284
159 6217.813589110391 4687.340640854568
160 816.9950066762262 6180.075510541809
161 10441.187241491845 679.8749778484013
162 7077.473130426997 1281.1086301862663
163 8733.08203966276 935.3542556038961
164 11789.63983412412 7012.879655856269
165 4004.5791683496486 7761.119098342037
166 12975.258630180795 9603.674075881398
167 7069.0159005157075 4368.345912130988
168 8187.5979440034735 9851.812958816205
169 1164.8845130815027 5329.826035232589
170 7933.3568646654385 12491.314107014205
171 8881.312221425973 9926.851074173226
172 556.4536791548892 11428.913173651898
173 11252.396245985445 2483.7409892093137
174 1196.1387905341978 4051.078943165052
175 1393.0964286207045 4965.319091942562
176 8491.457376234286 5554.547458412517
177 9812.100244899524 9695.63506810684
178 11419.909936615142 4915.032007040857
179 10456.00652277189 2045.5066384627055
180 4030.230061520341 2676.1393796261304
181 10614.376593943463 2331.9473846807323
182 5857.516366688973 8214.170408498208
183 5046.644752024478 9974.31579353649
184 12493.528146026774 8514.35151077209
185 6079.57926845389 12160.017062933324
186 4125.774682421134 9780.187644816348
187 5967.920095757152 4886.861933696831
188 8856.096552726945 11390.001579139076
189 6511.028704624508 7269.678615794279
190 12262.758688344531 4813.363954038903
191 6774.819665530743 5425.545593162982
192 4979.6461183005185 5104.9957818085995
193 8780.943664757286 4085.0091214515032
194 2031.9724834915874 5504.862639173401
195 7194.137492353306 8315.918393890419
196 11289.981474486076 12490.558484485402
197 1363.848543214334 392.00598830209265
198 10680.442504714427 7351.713828907986
199 7557.69115497057 11890.116338018142
200 1730.3136048711563 12986.041439626773
201 11861.983008264333 10557.972597200867
EOF
